table_name,name,name_nda,value_old,value_new,label
sdev_y_vict,sdev_y_vict_026,socialdev_cvict_g1,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__03,socialdev_cvict_g1_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__03,socialdev_cvict_g1_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__05,socialdev_cvict_g1_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__05,socialdev_cvict_g1_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__05__l,socialdev_cvict_g1_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__05__l,socialdev_cvict_g1_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__31,socialdev_cvict_g1_g,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__31,socialdev_cvict_g1_g,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__31__l,socialdev_cvict_g1_g_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__31__l,socialdev_cvict_g1_g_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__32,socialdev_cvict_g1_h,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__32,socialdev_cvict_g1_h,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__32__01,socialdev_cvict_g1_i,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__32__01,socialdev_cvict_g1_i,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__32__01__l,socialdev_cvict_g1_i_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__32__01__l,socialdev_cvict_g1_i_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__32__l,socialdev_cvict_g1_h_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__32__l,socialdev_cvict_g1_h_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_026__l,socialdev_cvict_g1_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_026__l,socialdev_cvict_g1_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027,socialdev_cvict_g2,98,999,I don't know
sdev_y_vict,sdev_y_vict_027,socialdev_cvict_g2,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__03,socialdev_cvict_g2_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__03,socialdev_cvict_g2_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__05,socialdev_cvict_g2_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__05,socialdev_cvict_g2_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__05__l,socialdev_cvict_g2_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__05__l,socialdev_cvict_g2_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__32,socialdev_cvict_g2_g,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__32,socialdev_cvict_g2_g,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__32__l,socialdev_cvict_g2_g_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__32__l,socialdev_cvict_g2_g_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__33,socialdev_cvict_g2_h,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__33,socialdev_cvict_g2_h,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__33__01,socialdev_cvict_g2_i,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__33__01,socialdev_cvict_g2_i,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__33__01__l,socialdev_cvict_g2_i_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__33__01__l,socialdev_cvict_g2_i_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__33__l,socialdev_cvict_g2_h_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__33__l,socialdev_cvict_g2_h_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__34,socialdev_cvict_g2_o,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__34,socialdev_cvict_g2_o,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__34__l,socialdev_cvict_g2_o_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__34__l,socialdev_cvict_g2_o_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_027__l,socialdev_cvict_g2_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_027__l,socialdev_cvict_g2_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_028,socialdev_cvict_sc1,98,999,I don't know
sdev_y_vict,sdev_y_vict_028,socialdev_cvict_sc1,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_028__01,socialdev_cvict_sc1_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_028__01,socialdev_cvict_sc1_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_028__03,socialdev_cvict_sc1_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_028__03,socialdev_cvict_sc1_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_028__03__l,socialdev_cvict_sc1_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_028__03__l,socialdev_cvict_sc1_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_028__l,socialdev_cvict_sc1_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_028__l,socialdev_cvict_sc1_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_029,socialdev_cvict_sc2,98,999,I don't know
sdev_y_vict,sdev_y_vict_029,socialdev_cvict_sc2,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_029__01,socialdev_cvict_sc2_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_029__01,socialdev_cvict_sc2_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_029__03,socialdev_cvict_sc2_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_029__03,socialdev_cvict_sc2_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_029__03__l,socialdev_cvict_sc2_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_029__03__l,socialdev_cvict_sc2_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_029__l,socialdev_cvict_sc2_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_029__l,socialdev_cvict_sc2_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030,socialdev_cvict_int1,98,999,I don't know
sdev_y_vict,sdev_y_vict_030,socialdev_cvict_int1,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__02,socialdev_cvict_int1_c,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__02,socialdev_cvict_int1_c,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__03,socialdev_cvict_int1_e,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__03,socialdev_cvict_int1_e,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__03__l,socialdev_cvict_int1_e_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__03__l,socialdev_cvict_int1_e_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__33,socialdev_cvict_int1_h,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__33,socialdev_cvict_int1_h,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__33__01,socialdev_cvict_int1_i,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__33__01,socialdev_cvict_int1_i,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__33__01__l,socialdev_cvict_int1_i_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__33__01__l,socialdev_cvict_int1_i_l,99,777,I'd rather not say
sdev_y_vict,sdev_y_vict_030__33__l,socialdev_cvict_int1_h_l,98,999,I don't know
sdev_y_vict,sdev_y_vict_030__33__l,socialdev_cvict_int1_h_l,99,777,I'd rather not say
