name,ksads1_id,ksads2_id
mh_p/y_ksads__cond__screen__past_006f__yr,545,
mh_p/y_ksads__cond__screen__past_006g__mo,516,
mh_p/y_ksads__cond__screen__past_006g__yr,516,
mh_p/y_ksads__cond__screen__past_006h__mo,517,
mh_p/y_ksads__cond__screen__past_006h__yr,517,
mh_p/y_ksads__cond__screen__past_006i__mo,518,
mh_p/y_ksads__cond__screen__past_006i__yr,518,
mh_p/y_ksads__cond__screen__past_006j__mo,519,
mh_p/y_ksads__cond__screen__past_006j__worst__mo,519,
mh_p/y_ksads__cond__screen__past_006j__worst__yr,519,
mh_p/y_ksads__cond__screen__past_006j__yr,519,
mh_p/y_ksads__cond__screen__past_006k__mo,520,
mh_p/y_ksads__cond__screen__past_006k__yr,520,
mh_p/y_ksads__cond__screen__past_006l__mo,521,
mh_p/y_ksads__cond__screen__past_006l__yr,521,
mh_p/y_ksads__cond__screen__past_006m__mo,522,
mh_p/y_ksads__cond__screen__past_006m__yr,522,
mh_p/y_ksads__cond__screen__past_006n__mo,523,
mh_p/y_ksads__cond__screen__past_006n__yr,523,
mh_p/y_ksads__cond__screen__past_006o__mo,524,
mh_p/y_ksads__cond__screen__past_006o__yr,524,
mh_p/y_ksads__cond__screen__past_006p__mo,525,
mh_p/y_ksads__cond__screen__past_006p__yr,525,
mh_p/y_ksads__cond__screen__past_006q__mo,526,
mh_p/y_ksads__cond__screen__past_006q__yr,526,
mh_p/y_ksads__cond__screen__past_006r__mo,527,
mh_p/y_ksads__cond__screen__past_006r__yr,527,
mh_p/y_ksads__cond__screen__past_006s__mo,528,
mh_p/y_ksads__cond__screen__past_006s__yr,528,
mh_p/y_ksads__cond__screen__past_006t__mo,529,
mh_p/y_ksads__cond__screen__past_006t__yr,529,
mh_p/y_ksads__cond__screen__past_006u__mo,530,
mh_p/y_ksads__cond__screen__past_006u__yr,530,
mh_p/y_ksads__cond__screen__past_006v__mo,531,
mh_p/y_ksads__cond__screen__past_006v__yr,531,
mh_p/y_ksads__cond__screen__past_006w__mo,532,
mh_p/y_ksads__cond__screen__past_006w__yr,532,
mh_p/y_ksads__cond__screen__past_006x__mo,533,
mh_p/y_ksads__cond__screen__past_006x__yr,533,
mh_p/y_ksads__cond__screen__past_006y__mo,534,
